FIT Profiler Report
Profile stats for: [LightningModule]LitLatentJacobianODE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 text.py:409(plain)
       14    0.000    0.000    0.000    0.000 style.py:596(combine)
       28    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
       34    0.000    0.000    0.000    0.000 text.py:666(rstrip_end)
       12    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       68    0.000    0.000    0.000    0.000 _loop.py:31(loop_first_last)
       26    0.000    0.000    0.000    0.000 segment.py:184(line)
      215    0.000    0.000    0.000    0.000 style.py:453(link)
       34    0.000    0.000    0.000    0.000 text.py:173(__str__)
       42    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      104    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 text.py:917(pad_left)
       77    0.000    0.000    0.000    0.000 _pick.py:4(pick_bool)
       82    0.000    0.000    0.000    0.000 console.py:790(_theme_stack)
       57    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 hooks.py:24(__init__)
      173    0.000    0.000    0.000    0.000 style.py:336(__bool__)
       32    0.000    0.000    0.000    0.000 segment.py:464(align_top)
      142    0.000    0.000    0.000    0.000 text.py:167(__len__)
        4    0.000    0.000    0.000    0.000 wb_logging.py:93(log_to_all_runs)
        4    0.000    0.000    0.000    0.000 console_capture.py:203(_enter_callbacks)
       45    0.000    0.000    0.000    0.000 text.py:809(<genexpr>)
        6    0.000    0.000    0.000    0.000 model_summary.py:117(detach_hook)
      128    0.000    0.000    0.000    0.000 typing.py:2383(cast)
       49    0.000    0.000    0.000    0.000 table.py:846(<genexpr>)
       80    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
       76    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        6    0.000    0.000    0.000    0.000 contextlib.py:547(_push_cm_exit)
        2    0.000    0.000    0.000    0.000 console.py:863(__enter__)
       22    0.000    0.000    0.000    0.000 typing.py:1455(__hash__)
        2    0.000    0.000    0.000    0.000 table.py:188(__init__)
       80    0.000    0.000    0.000    0.000 table.py:120(cells)
        1    0.000    0.000    0.000    0.000 box.py:95(get_top)
        6    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
       14    0.000    0.000    0.000    0.000 console.py:762(file)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       32    0.000    0.000    0.000    0.000 table.py:440(add_cell)
       64    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 module_tracker.py:64(__init__)
       60    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
